keyword,lang,intent,cluster,subcluster,notes
firma transportowa,pl,transactional,company,head,
spedycja,pl,transactional,company,head,
firma spedycyjna,pl,transactional,company,head,
logistyka,pl,transactional,company,head,
przewoźnik,pl,transactional,company,head,
transport krajowy,pl,transactional,company,head,
transport międzynarodowy,pl,transactional,company,head,
transport paletowy,pl,transactional,service,head,
"transport busami 3,5 t",pl,transactional,service,head,
transport TIR FTL,pl,transactional,service,head,
transport LTL,pl,transactional,service,head,
transport ekspresowy,pl,transactional,service,head,
transport całopojazdowy,pl,transactional,service,head,
transport częściowy,pl,transactional,service,head,
przeprowadzki firm,pl,transactional,service,head,
transport mebli,pl,transactional,service,head,
transport maszyn,pl,transactional,service,head,
transport chłodniczy,pl,transactional,service,head,
transport ADR,pl,transactional,service,head,
firma transportowa cennik,pl,transactional,pricing,modifier,
spedycja cennik,pl,transactional,pricing,modifier,
firma spedycyjna cennik,pl,transactional,pricing,modifier,
firma transportowa cena za km,pl,transactional,pricing,modifier,
spedycja cena za km,pl,transactional,pricing,modifier,
firma spedycyjna cena za km,pl,transactional,pricing,modifier,
firma transportowa wycena,pl,transactional,pricing,modifier,
spedycja wycena,pl,transactional,pricing,modifier,
firma spedycyjna wycena,pl,transactional,pricing,modifier,
firma transportowa oferta,pl,transactional,pricing,modifier,
spedycja oferta,pl,transactional,pricing,modifier,
firma spedycyjna oferta,pl,transactional,pricing,modifier,
firma transportowa zlecenie transportowe,pl,transactional,pricing,modifier,
spedycja zlecenie transportowe,pl,transactional,pricing,modifier,
firma spedycyjna zlecenie transportowe,pl,transactional,pricing,modifier,
firma transportowa termin dostawy,pl,transactional,pricing,modifier,
spedycja termin dostawy,pl,transactional,pricing,modifier,
firma spedycyjna termin dostawy,pl,transactional,pricing,modifier,
firma transportowa czas dostawy,pl,transactional,pricing,modifier,
spedycja czas dostawy,pl,transactional,pricing,modifier,
firma spedycyjna czas dostawy,pl,transactional,pricing,modifier,
firma transportowa kontakt,pl,transactional,pricing,modifier,
spedycja kontakt,pl,transactional,pricing,modifier,
firma spedycyjna kontakt,pl,transactional,pricing,modifier,
firma transportowa opinie,pl,transactional,pricing,modifier,
spedycja opinie,pl,transactional,pricing,modifier,
firma spedycyjna opinie,pl,transactional,pricing,modifier,
firma transportowa blisko mnie,pl,local,near,modifier,
spedycja blisko mnie,pl,local,near,modifier,
firma spedycyjna blisko mnie,pl,local,near,modifier,
firma transportowa w pobliżu,pl,local,near,modifier,
spedycja w pobliżu,pl,local,near,modifier,
